序号,数据表/层级,字段名,语义类型,存储类型,单位,必填,记录变化维度,模型输入权限,示例值,字段说明,约束/备注,实现阶段
1,scenarios,scenario_id,主键,string,—,是,场景固定,不可用,scenario_001,场景唯一标识,全数据集唯一、发布后保持稳定,第一版核心
2,scenarios,scenario_name,描述信息,string,—,是,场景固定,不可用,nominal_los_line,场景名称,简短、可读、不可替代scenario_id,第一版核心
3,scenarios,description,描述信息,string,—,否,场景固定,不可用,名义LOS铁路区间,场景文字说明,不得声称为真实线路实测，除非有证据,第一版可选
4,scenarios,route_start_m,几何配置,float64,m,是,场景固定,条件可用,-600.0,线路起点位置,必须小于route_end_m,第一版核心
5,scenarios,route_end_m,几何配置,float64,m,是,场景固定,条件可用,600.0,线路终点位置,必须大于route_start_m,第一版核心
6,scenarios,carrier_frequency_hz,无线配置,float64,Hz,是,场景固定,条件可用,2400000000,载波频率,必须为正数,第一版核心
7,scenarios,train_length_m,几何配置,float64,m,是,场景固定,条件可用,200.0,列车长度,必须为正数,第一版核心
8,scenarios,ap_count,结构计数,int32,个,是,场景固定,不可用,5,场景内AP数量,应与scenario_aps记录数量一致,第一版核心
9,scenarios,obm_count,结构计数,int32,个,是,场景固定,不可用,2,场景内OBM数量,第一版通常为2,第一版核心
10,scenarios,propagation_profile,传播配置,string(enum),—,是,场景固定,条件可用,rail_los_nominal,传播环境类型,取值见枚举与约束,第一版核心
11,scenarios,path_loss_model,传播配置,string(enum),—,是,场景固定,条件可用,single_slope_log_distance,路径损耗模型名称,取值见枚举与约束,第一版核心
12,scenarios,path_loss_exponent_near,传播参数,float64,—,是,场景固定,条件可用,2.8,近距离路径损耗指数,必须大于0；来源需记录,第一版核心
13,scenarios,path_loss_breakpoint_m,传播参数,float64|null,m,条件,场景固定,条件可用,null,双斜率模型断点,单斜率模型可为空,第一版条件
14,scenarios,path_loss_exponent_far,传播参数,float64|null,—,条件,场景固定,条件可用,3.88,远距离路径损耗指数,仅双斜率模型必填,第一版条件
15,scenarios,shadow_sigma_db,传播参数,float64,dB,是,场景固定,条件可用,2.5,阴影衰落标准差,必须非负,第一版核心
16,scenarios,shadow_corr_distance_m,传播参数,float64,m,是,场景固定,条件可用,15.0,阴影空间去相关距离,必须非负,第一版核心
17,scenarios,rician_k_db,传播参数,float64,dB,是,场景固定,条件可用,4.2,Rician K因子,应与传播场景相符,第一版核心
18,scenarios,receiver_sensitivity_dbm,接收机配置,float64,dBm,是,场景固定,条件可用,-100.0,场景默认接收机灵敏度,低于该值按接收机策略处理；第一版数值以 scenarios 为权威来源,第一版核心
19,scenarios,receiver_saturation_dbm,接收机配置,float64,dBm,是,场景固定,条件可用,-20.0,场景默认接收机饱和值,应高于灵敏度；第一版数值以 scenarios 为权威来源,第一版核心
20,scenarios,rssi_quantization_db,接收机配置,float64,dB,是,场景固定,条件可用,0.5,场景默认RSSI量化步长,必须大于0；第一版数值以 scenarios 为权威来源,第一版核心
21,scenarios,parameter_source_type,证据等级,string(enum),—,是,场景固定,不可用,literature_prior,参数来源类型,区分文献先验、设备先验、工程假设和实测校准,第一版核心
22,scenarios,scenario_config_hash,版本审计,string,—,是,场景固定,不可用,sha256:…,场景配置哈希,同一配置必须得到相同哈希,第一版核心
23,scenario_aps,scenario_id,外键,string,—,是,按AP记录,不可用,scenario_001,所属场景,必须存在于scenarios,第一版核心
24,scenario_aps,ap_id,复合主键,string,—,是,按AP记录,条件可用,AP-002,场景内AP标识,与scenario_id组合唯一,第一版核心
25,scenario_aps,track_position_m,几何配置,float64,m,是,按AP记录,条件可用,0.0,AP在线路方向的位置,应位于或覆盖线路范围,第一版核心
26,scenario_aps,lateral_offset_m,几何配置,float64,m,是,按AP记录,条件可用,5.0,AP与轨道横向距离,必须非负,第一版核心
27,scenario_aps,height_m,几何配置,float64,m,是,按AP记录,条件可用,5.0,AP天线高度,必须非负,第一版核心
28,scenario_aps,transmit_power_dbm,无线配置,float64,dBm,是,按AP记录,条件可用,20.0,AP发射功率,故障变化应通过故障参数另行记录,第一版核心
29,scenario_aps,max_gain_dbi,天线配置,float64,dBi,是,按AP记录,条件可用,12.0,最大天线增益,必须非负,第一版核心
30,scenario_aps,half_power_beamwidth_deg,天线配置,float64,deg,是,按AP记录,条件可用,30.0,半功率波束宽度,"范围(0,180]",第一版核心
31,scenario_aps,antenna_count,结构计数,int32,个,是,按AP记录,不可用,2,AP天线数量,第一版固定为2,第一版核心
32,scenario_aps,antenna_1_direction_deg,天线配置,float64,deg,是,按AP记录,条件可用,180.0,天线1主瓣方向,与线路坐标定义一致,第一版核心
33,scenario_aps,antenna_2_direction_deg,天线配置,float64,deg,是,按AP记录,条件可用,0.0,天线2主瓣方向,通常与天线1方向相反,第一版核心
34,scenario_aps,hardware_profile_id,配置引用,string|null,—,否,按AP记录,不可用,ap_profile_v1,AP硬件参数配置引用,引用的配置必须可追溯,第一版可选
35,scenario_obms,scenario_id,外键,string,—,是,按OBM记录,不可用,scenario_001,所属场景,必须存在于scenarios,第一版核心
36,scenario_obms,obm_id,复合主键,string,—,是,按OBM记录,条件可用,OBM-front,场景内OBM标识,与scenario_id组合唯一,第一版核心
37,scenario_obms,obm_role,设备角色,string(enum),—,是,按OBM记录,条件可用,front,车头或车尾角色,取值front/rear,第一版核心
38,scenario_obms,longitudinal_offset_m,几何配置,float64,m,是,按OBM记录,条件可用,100.0,OBM相对列车中心的纵向偏移,前后OBM符号应与行驶方向定义一致,第一版核心
39,scenario_obms,height_m,几何配置,float64,m,是,按OBM记录,条件可用,4.1,OBM天线高度,必须非负,第一版核心
40,scenario_obms,receiver_gain_dbi,接收机配置,float64,dBi,是,按OBM记录,条件可用,0.0,OBM接收天线增益,单位dBi,第一版核心
41,scenario_obms,receiver_profile_id,配置引用,string,—,是,按OBM记录,不可用,receiver_v1,接收机配置来源标识,第一版仅用于来源追溯，不覆盖 scenarios 中的接收机数值,第一版核心
42,scenario_obms,report_interval_s,接收机配置,float64,s,是,按OBM记录,条件可用,0.05,RSSI报告周期,必须大于0,第一版核心
43,runs,scenario_id,外键,string,—,是,按Run固定,不可用,scenario_001,所属场景,必须存在于scenarios,第一版核心
44,runs,run_id,复合主键,string,—,是,按Run固定,不可用,run_000123,一次完整运行标识,与scenario_id组合唯一,第一版核心
45,runs,world_id,配对分组,string,—,是,按Run固定,不可用,world_000021,统一随机世界编号,同一world的全部Run必须位于同一数据划分,第一版核心
46,runs,pair_mode,实验设计,string(enum),—,是,按Run固定,不可用,strict_frozen,配对随机量共享模式,取值见枚举与约束,第一版核心
47,runs,normal_pair_run_id,配对引用,string|null,—,条件,按Run固定,不可用,run_000120,对应健康Run,健康Run可为空；故障Run建议必填,第一版条件
48,runs,random_seed,随机种子,int64,—,是,按Run固定,不可用,2026073101,Run根随机种子,用于派生各分量种子,第一版核心
